state_ID,State_,Tot_Pop,Year,Pop_Dist_White,Pop_Dist_Black,Pop_Dist_Hispanic,Pop_Dist_Asian,Pop_Dist_Am_In,Pop_Dist_Nat_Haw_Pac_Isl,Pop_Dist_Mult_race,Povbr_White,Povbr_Black,Povbr_Hispanic,Povbr_As_PI,Povbr_Am_Na,Povbr_Multiple_Races,Mean_Unempl,Tot_GSP_Mil,snap_tot_ben_Mil,SNAP_no_rep,Pov_Ad_Ch,Pov_Ad_No,Pov_Ad_Tot,Ad_Poor_MH_zero,Ad_Poor_MH_four,Ad_Poor_MH_thirteen,Ad_Poor_MH_fourteen,Cov_Vacc_one
38,Oregon,4254280,2021,72,2,14,5,1,0,7,12,20,16,13,20,13,110787,272190.9,1847403478,732422,10,14,13,58,15,12,15,746426580
39,Pennsylvania,13015571,2021,74,10,8,4,0,0,4,9,24,24,12,19,17,380655,844496.5,5170214891,1927477.83,11,11,11,62,13,12,13,2480482725
40,Rhode Island,1097246,2021,69,4,17,3,0,0,6,8,23,23,14,60,14,31596,66570.9,378689563,142962.5,9,11,11,62,14,11,12,185033801
41,South Carolina,5194274,2021,63,25,6,2,0,0,4,10,25,21,14,25,20,92995,269802.5,1550266093,619480,13,15,14,64,12,10,14,747754230
42,South Dakota,896492,2021,80,2,4,2,8,0,5,8,0,22,17,53,17,12253,61684.7,177819200,71470.17,9,15,13,64,15,10,11,125017896
43,Tennessee,6965740,2021,72,15,6,2,0,0,5,11,22,19,10,0,18,148550,427125.5,2316136428,767843.42,13,14,13,58,13,13,16,932535619
44,Texas,29570351,2021,39,11,40,5,0,0,4,8,19,20,8,22,12,805885,2051769,8751945285,3396071.42,14,12,13,62,14,11,13,1311190083
45,Utah,3339738,2021,76,1,15,3,1,1,4,7,21,12,7,36,8,46405,225340.3,412957155,158441.25,6,10,9,54,18,14,15,458367397
46,Vermont,647210,2021,91,1,2,2,0,0,4,10,0,0,0,0,14,12030,37103.8,169354925,70685.17,8,13,11,58,17,12,13,1563476339
47,Virginia,8658910,2021,60,18,10,7,0,0,6,8,17,15,7,0,11,166283,604957.6,1901832165,842819,9,10,10,61,14,12,13,131986191
48,Washington,7743760,2021,65,4,14,9,1,1,7,9,20,17,9,19,10,202339,677489.5,2359661930,896287.08,9,11,10,56,17,14,14,1393175909
49,West Virginia,1785618,2021,91,3,2,1,0,0,4,16,29,22,0,0,26,39809,85434.2,772297950,307242.33,17,18,18,59,11,11,18,969894063
50,Wisconsin,5881608,2021,79,6,8,3,1,0,4,9,28,19,12,18,15,120291,368611.3,1964034853,707321.33,9,11,10,61,16,13,11,257519162
51,Wyoming,579636,2021,81,1,11,1,2,0,5,10,0,14,0,43,7,13130,41510.2,73313685,29744.92,11,13,12,64,12,11,13,75697408
1,Alabama,5076181,2022,65,25,5,1,0,0,4,12,27,29,10,11,19,57518,277817.5,2161908716,761073.58,15,16,16,62,12,11,16,98690585
2,Alaska,734442,2022,58,3,7,6,13,2,12,8,0,12,14,24,12,14929,63618,348717900,92119.17,11,10,10,60,16,11,13,594924354
3,Arizona,7377566,2022,52,4,33,4,3,0,4,9,15,16,11,31,11,136139,458949.8,1912395634,825666.25,12,12,12,59,14,12,15,389708319
4,Arkansas,3047704,2022,68,14,9,2,0,0,7,14,30,20,21,11,15,43417,165220.6,509558229,280389.83,15,16,16,59,13,11,17,1026496844
5,California,39142414,2022,34,5,40,15,0,0,5,9,19,15,10,17,11,818584,3598102.7,14424776610,4627744.25,11,11,11,56,16,13,14,6389481509
6,Colorado,5850935,2022,65,4,23,3,0,0,5,8,19,12,9,23,8,97625,484371.5,1473934886,540303.08,7,10,9,56,17,14,14,885924697
7,Connecticut,3617925,2022,62,10,18,5,0,0,5,7,14,19,10,0,11,78115,321844.6,1115512850,375361,9,10,9,63,14,11,12,659669498
8,Delaware,1020625,2022,59,21,10,4,0,0,5,6,13,17,0,0,10,21114,87524.8,323485761,118841.5,8,9,9,64,14,10,12,135040136
9,Dist. of Columbia,676725,2022,36,42,12,4,0,0,6,6,21,0,12,0,10,18410,162314.4,444360725,145804.67,9,13,12,56,18,15,12,156438549
10,Florida,22379312,2022,51,14,27,3,0,0,5,10,19,15,9,19,15,320319,1389069.7,4975326996,2847085.67,12,12,12,65,11,11,13,3295816948
11,Georgia,10931805,2022,50,31,10,4,0,0,5,9,18,16,9,0,13,163527,755697.9,4093404907,1608202.75,11,12,12,61,14,12,14,1340982378
12,Hawaii,1440359,2022,20,1,11,36,0,9,23,11,0,13,10,0,10,21965,98218.8,900720734,169013.5,10,11,11,65,13,11,11,
13,Idaho,1944299,2022,79,1,14,1,1,0,4,9,28,14,0,23,18,26729,109546.5,220405707,124077.75,8,11,10,60,15,11,14,415894053
14,Illinois,12621821,2022,59,13,18,6,0,0,4,8,26,14,10,21,16,292775,1033310.1,5678772072,1981713.67,11,11,11,61,14,13,13,209685142
15,Iowa,6844545,2022,83,4,7,2,0,0,4,9,38,12,18,41,16,47954,231107.8,596714651,278826.75,8,13,11,62,15,11,12,1880755215
16,Indiana,3202820,2022,76,9,8,3,0,0,4,10,25,16,14,25,16,103017,455750.2,1523624552,617629.92,11,13,12,59,15,11,15,801967233
17,Kansas,2937324,2022,73,5,13,3,0,0,6,10,21,21,10,18,16,39421,210670.5,558884067,195798.83,10,14,13,62,14,10,14,417733106
18,Kentucky,4519233,2022,83,7,4,1,0,0,5,15,27,24,10,0,24,81903,260304.1,1265479724,541623.33,15,17,16,63,11,11,15,572213794
19,Louisiana,4593687,2022,57,31,6,2,0,0,4,13,29,20,14,18,19,75417,281429.3,2388597365,822648.67,17,17,17,57,14,12,18,548896288
20,Maine,1390922,2022,91,2,2,1,0,0,5,10,32,13,0,0,16,19262,84497.5,475481103,162158.92,7,12,10,62,14,10,14,1310176101
21,Maryland,6192440,2022,47,29,12,7,0,0,5,7,13,13,9,0,12,94452,470187.1,2117227174,772731.17,8,9,9,61,15,12,12,1011379472
22,Massachusetts,7022468,2022,67,7,13,7,0,0,6,8,17,20,12,0,13,137187,688391.6,3135922211,1024441.83,8,11,10,60,15,12,13,236346867
23,Michigan,10050877,2022,73,13,6,3,0,0,5,11,27,19,9,21,15,201152,620695.6,3941434011,1351310.08,12,13,13,59,15,12,14,1226624487
24,Minnesota,5721621,2022,76,7,6,5,1,0,6,7,27,18,10,31,13,78198,446499.5,1811331171,435909.92,8,10,9,60,17,11,12,822091075
25,Mississippi,2941939,2022,56,36,3,1,0,0,4,12,29,20,16,0,27,47384,138739.7,851232937,413650.75,17,18,17,63,12,10,14,787015324
26,Missouri,6179414,2022,77,10,5,2,0,0,6,11,25,18,11,14,14,78871,389931.2,1298301743,657870.17,10,13,12,59,14,12,16,343071249
27,Montana,1122095,2022,84,0,4,1,5,0,6,11,0,27,0,34,11,15147,65014.5,155175590,89167,9,14,12,61,14,11,14,135183055
28,Nebraska,1972246,2022,76,4,12,2,1,0,5,9,23,14,7,24,18,22464,161702,265904110,155549.58,9,11,10,62,16,11,11,1707269492
29,Nevada,3176116,2022,44,9,30,9,1,1,6,10,21,14,12,24,14,81060,215917.8,1281156203,455231.17,13,11,12,57,16,13,15,96622270
30,New Hampshire,1396678,2022,87,1,5,3,0,0,5,7,0,12,6,0,7,17238,105414.4,200380711,69343.08,4,8,7,62,15,10,13,222728393
31,New Jersey,9295227,2022,52,12,22,10,0,0,5,7,16,16,6,33,9,183284,745422.2,2576443628,857303.83,9,8,9,62,15,11,12,249971542
32,New Mexico,2113868,2022,35,2,51,2,8,0,4,12,19,20,15,32,13,38557,122114.8,1486850924,518799.17,17,18,17,61,13,11,15,1480043415
33,New York,19703747,2022,53,13,20,9,0,0,5,10,22,21,14,21,15,415707,2053179.7,8699495581,2839326.33,13,13,13,60,14,12,14,355328292
34,North Carolina,10710793,2022,61,20,10,3,1,0,5,9,19,22,7,23,16,189852,730072.4,4737610255,1599929.5,12,12,12,63,12,11,14,447895088
35,North Dakota,781057,2022,83,3,4,1,4,0,5,9,0,0,0,32,26,8319,73267.1,90503186,47416.58,6,14,11,65,14,9,12,3395137638
36,Ohio,11777874,2022,76,12,4,3,0,0,5,11,27,21,14,0,20,228921,822669.7,4299141255,1491293.67,12,13,13,58,14,12,16,1440492355
37,Oklahoma,4026229,2022,63,7,12,2,7,0,9,13,27,19,13,20,17,57949,240534.3,1807651961,650639.67,14,15,15,58,14,12,17,544085008
38,Oregon,4247372,2022,72,2,14,5,1,0,7,11,19,15,12,17,12,84453,299125.5,2094359050,718579.67,10,13,12,56,16,12,17,637064464
39,Pennsylvania,12984990,2022,73,10,9,4,0,0,5,9,24,23,11,0,16,262270,923088.8,5017489465,1845635.5,10,12,11,59,15,13,14,2101657469
